epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,572.515,1.31459,1.59406,1.19044,0.75371,0.59797,0.65905,0.24278,2.18597,1.47737,1.6542,0.000666133,0.000666133,0.000666133
2,1274.6,1.37035,1.079,1.23067,0.73176,0.52406,0.60927,0.24817,2.04015,1.59928,1.52922,0.00128882,0.00128882,0.00128882
3,2103.34,1.3263,1.00096,1.20778,0.76897,0.60453,0.68448,0.28991,2.03128,1.39591,1.56257,0.0018675,0.0018675,0.0018675
4,2962.42,1.29087,0.93629,1.18691,0.78891,0.63849,0.71228,0.2998,2.08261,1.33796,1.56863,0.001802,0.001802,0.001802
5,3750.83,1.24672,0.86608,1.16036,0.77308,0.66643,0.7355,0.31664,2.03791,1.22675,1.54301,0.001736,0.001736,0.001736
6,4160.04,1.21076,0.82185,1.14652,0.79083,0.66539,0.74347,0.3143,2.03918,1.15584,1.52144,0.00167,0.00167,0.00167
7,4547.64,1.17538,0.79102,1.13555,0.83974,0.70695,0.79187,0.36028,1.88662,1.08341,1.4236,0.001604,0.001604,0.001604
8,4939.5,1.15396,0.77006,1.12143,0.80303,0.70061,0.78416,0.35551,1.9269,1.1116,1.48273,0.001538,0.001538,0.001538
9,5326.73,1.13052,0.73937,1.11205,0.82949,0.7073,0.78773,0.34728,1.95181,1.06603,1.45762,0.001472,0.001472,0.001472
10,5714,1.11077,0.70978,1.09609,0.79944,0.66828,0.74133,0.31309,2.00922,1.11803,1.48105,0.001406,0.001406,0.001406
11,6085.72,1.10605,0.68961,1.09736,0.85862,0.7509,0.82802,0.37617,1.89504,0.99053,1.41936,0.00134,0.00134,0.00134
12,6454.45,1.08693,0.67811,1.08332,0.8283,0.7094,0.79324,0.36074,1.92513,1.05821,1.45207,0.001274,0.001274,0.001274
13,6848.03,1.06778,0.66144,1.07754,0.84854,0.73379,0.82065,0.37959,1.87616,1.01219,1.39574,0.001208,0.001208,0.001208
14,7529.98,1.05843,0.64782,1.07119,0.83627,0.71778,0.79751,0.35135,1.91449,0.99713,1.43104,0.001142,0.001142,0.001142
15,8310.98,1.05193,0.63932,1.07197,0.86478,0.76179,0.84268,0.38689,1.89368,0.93953,1.40973,0.001076,0.001076,0.001076
16,9023.89,1.02724,0.62362,1.05933,0.88717,0.76073,0.84846,0.40174,1.85097,0.91026,1.37521,0.00101,0.00101,0.00101
17,9695.58,1.02537,0.61411,1.05785,0.87596,0.77262,0.85675,0.39328,1.8265,0.8912,1.37226,0.000944,0.000944,0.000944
18,10673.6,1.02916,0.61102,1.06234,0.87724,0.7803,0.85354,0.39625,1.83263,0.87263,1.36597,0.000878,0.000878,0.000878
19,11504.9,0.99669,0.58191,1.04081,0.87823,0.76423,0.84756,0.39156,1.8717,0.90106,1.38912,0.000812,0.000812,0.000812
20,11874.9,0.99749,0.581,1.04132,0.88909,0.77087,0.85924,0.40336,1.84233,0.87559,1.38248,0.000746,0.000746,0.000746
21,12235.3,0.92176,0.47713,0.9851,0.85173,0.78344,0.84854,0.39799,1.87003,0.90416,1.38729,0.00068,0.00068,0.00068
22,12660,0.90983,0.46419,0.97935,0.90074,0.77657,0.86673,0.41963,1.81032,0.86856,1.37767,0.000614,0.000614,0.000614
23,13269.5,0.89753,0.45385,0.9752,0.87896,0.78833,0.86002,0.42418,1.77498,0.88793,1.35241,0.000548,0.000548,0.000548
24,14005.3,0.88808,0.44343,0.96853,0.89294,0.77262,0.86153,0.4239,1.81245,0.86846,1.35879,0.000482,0.000482,0.000482
25,14748.3,0.87727,0.4327,0.96187,0.90128,0.79951,0.87798,0.43685,1.77568,0.84108,1.35248,0.000416,0.000416,0.000416
26,15521.3,0.86133,0.4189,0.95306,0.87295,0.78135,0.86196,0.42691,1.79657,0.87097,1.34775,0.00035,0.00035,0.00035
27,16096.7,0.85793,0.41629,0.95221,0.87359,0.75552,0.85311,0.41271,1.84571,0.88596,1.37076,0.000284,0.000284,0.000284
28,16450.8,0.84538,0.40606,0.94747,0.89768,0.7824,0.8713,0.44077,1.77005,0.84164,1.34588,0.000218,0.000218,0.000218
29,16821.1,0.83348,0.39757,0.94302,0.8914,0.78841,0.86695,0.43339,1.78971,0.84986,1.35524,0.000152,0.000152,0.000152
30,17191.7,0.82178,0.38383,0.93983,0.87272,0.79078,0.86557,0.43221,1.79335,0.84438,1.35335,8.6e-05,8.6e-05,8.6e-05
