epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,605.26,0.88162,0.47635,1.01108,0.87162,0.79444,0.86406,0.42186,1.82445,0.85928,1.49797,0.000664537,0.000664537,0.000664537
2,981.111,0.90061,0.49559,1.01619,0.89195,0.7817,0.85664,0.42395,1.81244,0.87328,1.48177,0.00126845,0.00126845,0.00126845
3,1349.44,0.91694,0.52085,1.02574,0.8428,0.72162,0.80557,0.37537,1.88143,1.03646,1.54537,0.0018095,0.0018095,0.0018095
4,1717.3,0.93845,0.53624,1.0358,0.88307,0.7824,0.85982,0.40824,1.82088,0.9051,1.50596,0.00171714,0.00171714,0.00171714
5,2085.77,0.92892,0.53805,1.03189,0.88116,0.76658,0.84799,0.41705,1.79368,0.91174,1.50077,0.00162286,0.00162286,0.00162286
6,2452.98,0.92397,0.51969,1.03063,0.89286,0.76319,0.84632,0.41475,1.76922,0.89428,1.45665,0.00152857,0.00152857,0.00152857
7,2822.62,0.91506,0.51633,1.02454,0.87965,0.78065,0.85849,0.42408,1.76825,0.87362,1.49082,0.00143429,0.00143429,0.00143429
8,3190.83,0.90139,0.50998,1.02239,0.84862,0.76169,0.83593,0.40674,1.81632,0.9288,1.50391,0.00134,0.00134,0.00134
9,3559.93,0.89165,0.4994,1.01978,0.88913,0.76284,0.8432,0.40782,1.8119,0.86729,1.50792,0.00124571,0.00124571,0.00124571
10,3927.58,0.88928,0.48913,1.01366,0.87552,0.77385,0.84857,0.40382,1.82079,0.8725,1.50647,0.00115143,0.00115143,0.00115143
11,4296.5,0.88935,0.48776,1.01713,0.8854,0.80688,0.86551,0.40911,1.80536,0.84619,1.49564,0.00105714,0.00105714,0.00105714
12,4633.29,0.8321,0.41154,0.96782,0.89537,0.77157,0.86354,0.4247,1.80082,0.88027,1.4921,0.000962857,0.000962857,0.000962857
13,4971.29,0.82249,0.39746,0.95849,0.90031,0.76598,0.85907,0.43884,1.71655,0.88104,1.42603,0.000868571,0.000868571,0.000868571
14,5308.72,0.81243,0.38969,0.95549,0.89256,0.78637,0.86373,0.43788,1.74907,0.82699,1.45543,0.000774286,0.000774286,0.000774286
15,5646.54,0.80311,0.38124,0.95015,0.88269,0.79707,0.86842,0.43563,1.77188,0.82638,1.46729,0.00068,0.00068,0.00068
16,5984.18,0.79498,0.3729,0.94533,0.9007,0.82396,0.8891,0.46285,1.72481,0.78244,1.44588,0.000585714,0.000585714,0.000585714
17,6323.01,0.77923,0.36562,0.93593,0.90964,0.80859,0.88254,0.45012,1.74358,0.79602,1.46596,0.000491429,0.000491429,0.000491429
18,6660.91,0.77669,0.36131,0.93354,0.90478,0.8032,0.87794,0.43393,1.77688,0.81078,1.4951,0.000397143,0.000397143,0.000397143
19,7000.2,0.76573,0.35174,0.92915,0.88987,0.81139,0.88118,0.44995,1.7402,0.79132,1.46756,0.000302857,0.000302857,0.000302857
20,7341.32,0.75501,0.34332,0.92912,0.89869,0.81182,0.87974,0.44644,1.75733,0.80303,1.48132,0.000208571,0.000208571,0.000208571
21,7679.4,0.74737,0.33989,0.92271,0.90447,0.80359,0.87828,0.44425,1.76185,0.80625,1.47853,0.000114286,0.000114286,0.000114286
